technology,genotype,tissue,sex,timepoint,rep,sample,depth1,depth2,sublibrary,sublibrary_sample,run_number,rna_experiment_accession,rna_library_accession,rna_file_accession,lower_nCount_RNA,upper_nCount_RNA,lower_nFeature_RNA,upper_doublet_scores,upper_percent.mt
Parse,Bl6/Cast,Gastrocnemius,Male,PND_04,1,G_4_M_1,lr_match,2k,2A,2A_G_4_M_1,1014,ENCSR790DPF,ENCLB578UHU,ENCFF436XXO,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_04,2,G_4_M_2,lr_match,2k,2A,2A_G_4_M_2,1014,ENCSR790DPF,ENCLB086AKH,ENCFF849EJG,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_10,1,G_10_F_1,lr_match,2k,2A,2A_G_10_F_1,1014,ENCSR138QIF,ENCLB639CLJ,ENCFF519TAN,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_10,2,G_10_F_2,lr_match,2k,2A,2A_G_10_F_2,1014,ENCSR138QIF,ENCLB479CCX,ENCFF138MAN,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_10,1,G_10_M_1,lr_match,2k,2A,2A_G_10_M_1,1014,ENCSR182SMX,ENCLB057CVT,ENCFF572KVD,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_10,2,G_10_M_2,lr_match,2k,2A,2A_G_10_M_2,1014,ENCSR182SMX,ENCLB112QYE,ENCFF523WIS,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_14,1,G_14_F_1,lr_match,2k,2A,2A_G_14_F_1,1014,ENCSR094YHS,ENCLB225LKT,ENCFF400PVV,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_14,2,G_14_F_2,lr_match,2k,2A,2A_G_14_F_2,1014,ENCSR094YHS,ENCLB249QAX,ENCFF444GUD,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_14,1,G_14_M_1,lr_match,2k,2A,2A_G_14_M_1,1014,ENCSR160AKB,ENCLB064HGO,ENCFF601WXH,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_14,2,G_14_M_2,lr_match,2k,2A,2A_G_14_M_2,1014,ENCSR160AKB,ENCLB914VRR,ENCFF631AAE,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_25,1,G_25_F_1,lr_match,2k,2A,2A_G_25_F_1,1014,ENCSR800QGK,ENCLB794POB,ENCFF837GRY,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_25,2,G_25_F_2,lr_match,2k,2A,2A_G_25_F_2,1014,ENCSR800QGK,ENCLB880ZLG,ENCFF051XPU,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_25,1,G_25_M_1,lr_match,2k,2A,2A_G_25_M_1,1014,ENCSR358NKP,ENCLB745WXH,ENCFF773WGE,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_25,2,G_25_M_2,lr_match,2k,2A,2A_G_25_M_2,1014,ENCSR358NKP,ENCLB342BHZ,ENCFF489TJK,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_36,1,G_36_F_1,lr_match,2k,2A,2A_G_36_F_1,1014,ENCSR548JRH,ENCLB912OOA,ENCFF500NPJ,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PND_36,2,G_36_F_2,lr_match,2k,2A,2A_G_36_F_2,1014,ENCSR548JRH,ENCLB640NHB,ENCFF026QYM,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_36,1,G_36_M_1,lr_match,2k,2A,2A_G_36_M_1,1014,ENCSR231VJO,ENCLB571LOU,ENCFF653UZO,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PND_36,2,G_36_M_2,lr_match,2k,2A,2A_G_36_M_2,1014,ENCSR231VJO,ENCLB567VTD,ENCFF369WOY,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PNM_02,1,G_2m_F_1,lr_match,2k,2A,2A_G_2m_F_1,1014,ENCSR816PAX,ENCLB204EKU,ENCFF745KTY,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PNM_02,2,G_2m_F_2,lr_match,2k,2A,2A_G_2m_F_2,1014,ENCSR816PAX,ENCLB469VRL,ENCFF267CMZ,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PNM_02,1,G_2m_M_1,lr_match,2k,2A,2A_G_2m_M_1,1014,ENCSR026VDA,ENCLB522NPO,ENCFF992YXD,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PNM_02,2,G_2m_M_2,lr_match,2k,2A,2A_G_2m_M_2,1014,ENCSR026VDA,ENCLB873RKB,ENCFF524QBH,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PNM_18,1,G_18m_F_1,lr_match,2k,2A,2A_G_18m_F_1,1008,ENCSR083EPD,ENCLB620HWQ,ENCFF121PLD,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Female,PNM_18,2,G_18m_F_2,lr_match,2k,2A,2A_G_18m_F_2,1008,ENCSR083EPD,ENCLB754SEX,ENCFF937QCU,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PNM_18,1,G_18m_M_1,lr_match,2k,2A,2A_G_18m_M_1,1008,ENCSR425UJQ,ENCLB947PWM,ENCFF160XTO,500,50000,300,0.25,5
Parse,Bl6/Cast,Gastrocnemius,Male,PNM_18,2,G_18m_M_2,lr_match,2k,2A,2A_G_18m_M_2,1008,ENCSR425UJQ,ENCLB773HLI,ENCFF340UGS,500,50000,300,0.25,5
Parse,Bl6/Cast,Cortex,Female,PND_04,1,C_4_F_1,lr_match,2k,2A,2A_C_4_F_1,1010,ENCSR632SJM,ENCLB797XUM,ENCFF122YOJ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_04,2,C_4_F_2,lr_match,2k,2A,2A_C_4_F_2,1010,ENCSR632SJM,ENCLB998QFD,ENCFF780SSC,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_04,1,C_4_M_1,lr_match,2k,2A,2A_C_4_M_1,1010,ENCSR220GBV,ENCLB807BQV,ENCFF654VZJ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_04,2,C_4_M_2,lr_match,2k,2A,2A_C_4_M_2,1010,ENCSR220GBV,ENCLB927HPV,ENCFF559WXW,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_10,1,C_10_F_1,lr_match,2k,2A,2A_C_10_F_1,1010,ENCSR257BOU,ENCLB536VVO,ENCFF894MDZ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_10,2,C_10_F_2,lr_match,2k,2A,2A_C_10_F_2,1010,ENCSR257BOU,ENCLB475JGQ,ENCFF948AMT,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_10,1,C_10_M_1,lr_match,2k,2A,2A_C_10_M_1,1010,ENCSR386PPF,ENCLB626ZWO,ENCFF722YTU,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_10,2,C_10_M_2,lr_match,2k,2A,2A_C_10_M_2,1010,ENCSR386PPF,ENCLB070DDL,ENCFF385LFB,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_14,1,C_14_F_1,lr_match,2k,2A,2A_C_14_F_1,1010,ENCSR081SXM,ENCLB861UVF,ENCFF311YXE,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_14,2,C_14_F_2,lr_match,2k,2A,2A_C_14_F_2,1010,ENCSR081SXM,ENCLB984ILH,ENCFF339FUL,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_14,1,C_14_M_1,lr_match,2k,2A,2A_C_14_M_1,1010,ENCSR659DFF,ENCLB106CMC,ENCFF020HJU,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_14,2,C_14_M_2,lr_match,2k,2A,2A_C_14_M_2,1010,ENCSR659DFF,ENCLB893EDU,ENCFF317TJO,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_25,1,C_25_F_1,lr_match,2k,2A,2A_C_25_F_1,1010,ENCSR964OQW,ENCLB440WWI,ENCFF825LSW,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_25,2,C_25_F_2,lr_match,2k,2A,2A_C_25_F_2,1010,ENCSR964OQW,ENCLB156QHU,ENCFF792BFX,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_25,1,C_25_M_1,lr_match,2k,2A,2A_C_25_M_1,1010,ENCSR544MGC,ENCLB283GKO,ENCFF724BUA,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_25,2,C_25_M_2,lr_match,2k,2A,2A_C_25_M_2,1010,ENCSR544MGC,ENCLB154DIW,ENCFF310JQS,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_36,1,C_36_F_1,lr_match,2k,2A,2A_C_36_F_1,1010,ENCSR302VFA,ENCLB956KBS,ENCFF515VDG,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PND_36,2,C_36_F_2,lr_match,2k,2A,2A_C_36_F_2,1010,ENCSR302VFA,ENCLB885MNL,ENCFF227ZRS,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_36,1,C_36_M_1,lr_match,2k,2A,2A_C_36_M_1,1010,ENCSR132KMR,ENCLB066LUV,ENCFF116IRO,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PND_36,2,C_36_M_2,lr_match,2k,2A,2A_C_36_M_2,1010,ENCSR132KMR,ENCLB242KYL,ENCFF318CRR,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_02,1,C_2m_F_1,lr_match,2k,2A,2A_C_2m_F_1,1010,ENCSR178PKG,ENCLB891WAL,ENCFF014CRV,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_02,2,C_2m_F_2,lr_match,2k,2A,2A_C_2m_F_2,1010,ENCSR178PKG,ENCLB972QSW,ENCFF163PFY,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_02,1,C_2m_M_1,lr_match,2k,2A,2A_C_2m_M_1,1010,ENCSR250SCW,ENCLB223DPT,ENCFF982HYB,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_02,2,C_2m_M_2,lr_match,2k,2A,2A_C_2m_M_2,1010,ENCSR250SCW,ENCLB799LCJ,ENCFF642UFR,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_18,1,C_18m_F_1,lr_match,2k,2A,2A_C_18m_F_1,1010,ENCSR092RYV,ENCLB311ZJJ,ENCFF582LJF,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Female,PNM_18,2,C_18m_F_2,lr_match,2k,2A,2A_C_18m_F_2,1010,ENCSR092RYV,ENCLB920FTQ,ENCFF175QZK,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_18,1,C_18m_M_1,lr_match,2k,2A,2A_C_18m_M_1,1010,ENCSR134FSZ,ENCLB956ELF,ENCFF897EPA,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Cortex,Male,PNM_18,2,C_18m_M_2,lr_match,2k,2A,2A_C_18m_M_2,1010,ENCSR134FSZ,ENCLB039CRC,ENCFF468MRD,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Heart,Female,PND_04,1,H_4_F_1,lr_match,2k,2A,2A_H_4_F_1,1014,ENCSR122DEZ,ENCLB534VTN,ENCFF670BEU,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Female,PND_04,2,H_4_F_2,lr_match,2k,2A,2A_H_4_F_2,1014,ENCSR122DEZ,ENCLB863LRS,ENCFF166WPK,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Male,PND_04,1,H_4_M_1,lr_match,2k,2A,2A_H_4_M_1,1014,ENCSR247PQY,ENCLB648HBN,ENCFF930SBW,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Male,PND_04,2,H_4_M_2,lr_match,2k,2A,2A_H_4_M_2,1014,ENCSR247PQY,ENCLB270IKS,ENCFF250NYD,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Female,PND_10,1,H_10_F_1,lr_match,2k,2A,2A_H_10_F_1,1014,ENCSR868XSG,ENCLB129LFT,ENCFF540WTW,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Female,PND_10,2,H_10_F_2,lr_match,2k,2A,2A_H_10_F_2,1014,ENCSR868XSG,ENCLB621EIT,ENCFF413SXT,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Male,PND_10,1,H_10_M_1,lr_match,2k,2A,2A_H_10_M_1,1014,ENCSR975YAQ,ENCLB363WWI,ENCFF819FJO,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Male,PND_10,2,H_10_M_2,lr_match,2k,2A,2A_H_10_M_2,1014,ENCSR975YAQ,ENCLB134RGQ,ENCFF559QFA,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Female,PND_14,1,H_14_F_1,lr_match,2k,2A,2A_H_14_F_1,1014,ENCSR125HRM,ENCLB570ZQE,ENCFF397POJ,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Female,PND_14,2,H_14_F_2,lr_match,2k,2A,2A_H_14_F_2,1014,ENCSR125HRM,ENCLB230PXB,ENCFF620QPN,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Male,PND_14,1,H_14_M_1,lr_match,2k,2A,2A_H_14_M_1,1014,ENCSR277UKO,ENCLB883MSA,ENCFF040FDO,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Male,PND_14,2,H_14_M_2,lr_match,2k,2A,2A_H_14_M_2,1014,ENCSR277UKO,ENCLB524WLL,ENCFF586RZU,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Female,PND_25,1,H_25_F_1,lr_match,2k,2A,2A_H_25_F_1,1014,ENCSR237OCP,ENCLB540ICC,ENCFF649ODJ,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Female,PND_25,2,H_25_F_2,lr_match,2k,2A,2A_H_25_F_2,1014,ENCSR237OCP,ENCLB574GTO,ENCFF300DWP,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Male,PND_25,1,H_25_M_1,lr_match,2k,2A,2A_H_25_M_1,1014,ENCSR688APT,ENCLB284CPU,ENCFF929YHL,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Male,PND_25,2,H_25_M_2,lr_match,2k,2A,2A_H_25_M_2,1014,ENCSR688APT,ENCLB618UUX,ENCFF979XKC,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Female,PND_36,1,H_36_F_1,lr_match,2k,2A,2A_H_36_F_1,1014,ENCSR559AAG,ENCLB033XLU,ENCFF707DQQ,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Female,PND_36,2,H_36_F_2,lr_match,2k,2A,2A_H_36_F_2,1014,ENCSR559AAG,ENCLB845DSU,ENCFF321INK,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Male,PND_36,1,H_36_M_1,lr_match,2k,2A,2A_H_36_M_1,1014,ENCSR337DKH,ENCLB835OER,ENCFF161HLE,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Male,PND_36,2,H_36_M_2,lr_match,2k,2A,2A_H_36_M_2,1014,ENCSR337DKH,ENCLB218OZS,ENCFF082CQW,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Female,PNM_02,1,H_2m_F_1,lr_match,2k,2A,2A_H_2m_F_1,1014,ENCSR809WJL,ENCLB671FWJ,ENCFF882CTI,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Female,PNM_02,2,H_2m_F_2,lr_match,2k,2A,2A_H_2m_F_2,1014,ENCSR809WJL,ENCLB791LRQ,ENCFF415YAF,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Male,PNM_02,1,H_2m_M_1,lr_match,2k,2A,2A_H_2m_M_1,1014,ENCSR573UKV,ENCLB236NYK,ENCFF294YGI,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Male,PNM_02,2,H_2m_M_2,lr_match,2k,2A,2A_H_2m_M_2,1014,ENCSR573UKV,ENCLB549HXS,ENCFF506YJP,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Female,PNM_18,1,H_18m_F_1,lr_match,2k,2A,2A_H_18m_F_1,1014,ENCSR743OKJ,ENCLB191IJY,ENCFF789MXN,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Female,PNM_18,2,H_18m_F_2,lr_match,2k,2A,2A_H_18m_F_2,1014,ENCSR743OKJ,ENCLB003RYS,ENCFF145MUT,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Male,PNM_18,1,H_18m_M_1,lr_match,2k,2A,2A_H_18m_M_1,1014,ENCSR455YDL,ENCLB965KXU,ENCFF885YDT,1000,50000,500,0.25,1
Parse,Bl6/Cast,Heart,Male,PNM_18,2,H_18m_M_2,lr_match,2k,2A,2A_H_18m_M_2,1014,ENCSR455YDL,ENCLB944MJT,ENCFF286OZL,1000,50000,500,0.25,1
Parse,Bl6/Cast,Hippocampus,Female,PND_10,1,HC_10_F_1,lr_match,2k,2A,2A_HC_10_F_1,1016,ENCSR257VQO,ENCLB903KKG,ENCFF137YTG,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PND_10,2,HC_10_F_2,lr_match,2k,2A,2A_HC_10_F_2,1016,ENCSR257VQO,ENCLB219EWD,ENCFF260QKY,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_10,1,HC_10_M_1,lr_match,2k,2A,2A_HC_10_M_1,1016,ENCSR127LUZ,ENCLB998CDS,ENCFF352NLP,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_10,2,HC_10_M_2,lr_match,2k,2A,2A_HC_10_M_2,1016,ENCSR127LUZ,ENCLB538QVH,ENCFF722NKF,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PND_14,1,HC_14_F_1,lr_match,2k,2A,2A_HC_14_F_1,1016,ENCSR859XOI,ENCLB933ASV,ENCFF911TNW,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PND_14,2,HC_14_F_2,lr_match,2k,2A,2A_HC_14_F_2,1016,ENCSR859XOI,ENCLB367HZZ,ENCFF065YZL,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_14,1,HC_14_M_1,lr_match,2k,2A,2A_HC_14_M_1,1016,ENCSR736JKX,ENCLB747VGK,ENCFF774JHO,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_14,2,HC_14_M_2,lr_match,2k,2A,2A_HC_14_M_2,1016,ENCSR736JKX,ENCLB032ZXT,ENCFF354WNP,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PND_25,1,HC_25_F_1,lr_match,2k,2A,2A_HC_25_F_1,1016,ENCSR499ZYZ,ENCLB340IWZ,ENCFF610SWC,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PND_25,2,HC_25_F_2,lr_match,2k,2A,2A_HC_25_F_2,1016,ENCSR499ZYZ,ENCLB561OFB,ENCFF331XHW,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_25,1,HC_25_M_1,lr_match,2k,2A,2A_HC_25_M_1,1016,ENCSR983TAK,ENCLB506MGR,ENCFF252WOO,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_25,2,HC_25_M_2,lr_match,2k,2A,2A_HC_25_M_2,1016,ENCSR983TAK,ENCLB481LCB,ENCFF553PSX,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PND_36,1,HC_36_F_1,lr_match,2k,2A,2A_HC_36_F_1,1016,ENCSR613VKV,ENCLB828XLK,ENCFF749SMR,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PND_36,2,HC_36_F_2,lr_match,2k,2A,2A_HC_36_F_2,1016,ENCSR613VKV,ENCLB243SGE,ENCFF727CJZ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_36,1,HC_36_M_1,lr_match,2k,2A,2A_HC_36_M_1,1016,ENCSR767FKE,ENCLB284ZJK,ENCFF794XTM,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_36,2,HC_36_M_2,lr_match,2k,2A,2A_HC_36_M_2,1016,ENCSR767FKE,ENCLB716KZC,ENCFF874IVZ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PNM_02,1,HC_2m_F_1,lr_match,2k,2A,2A_HC_2m_F_1,1016,ENCSR824CFI,ENCLB297DPA,ENCFF572LCS,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PNM_02,2,HC_2m_F_2,lr_match,2k,2A,2A_HC_2m_F_2,1016,ENCSR824CFI,ENCLB242YJU,ENCFF042LED,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PNM_02,1,HC_2m_M_1,lr_match,2k,2A,2A_HC_2m_M_1,1016,ENCSR329JYG,ENCLB291LEG,ENCFF804TTW,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PNM_02,2,HC_2m_M_2,lr_match,2k,2A,2A_HC_2m_M_2,1016,ENCSR329JYG,ENCLB779UHQ,ENCFF394DHC,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PNM_18,1,HC_18m_M_1,lr_match,2k,2A,2A_HC_18m_M_1,1016,ENCSR079CKL,ENCLB081SUD,ENCFF304TFJ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PNM_18,2,HC_18m_M_2,lr_match,2k,2A,2A_HC_18m_M_2,1016,ENCSR079CKL,ENCLB514RLH,ENCFF895QAF,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PND_10,1,HC_10_F_1,lr_match,2k,2B,2B_HC_10_F_1,1023,ENCSR888TQC,ENCLB093ZEB,ENCFF811MAT,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PND_10,2,HC_10_F_2,lr_match,2k,2B,2B_HC_10_F_2,1023,ENCSR888TQC,ENCLB767RCV,ENCFF926IHS,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_10,1,HC_10_M_1,lr_match,2k,2B,2B_HC_10_M_1,1023,ENCSR979MRY,ENCLB463YUO,ENCFF720GZG,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_10,2,HC_10_M_2,lr_match,2k,2B,2B_HC_10_M_2,1023,ENCSR979MRY,ENCLB259RAA,ENCFF586TOF,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PND_14,1,HC_14_F_1,lr_match,2k,2B,2B_HC_14_F_1,1023,ENCSR973WCI,ENCLB970EMO,ENCFF287RXU,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PND_14,2,HC_14_F_2,lr_match,2k,2B,2B_HC_14_F_2,1023,ENCSR973WCI,ENCLB144UXB,ENCFF447PMI,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_14,1,HC_14_M_1,lr_match,2k,2B,2B_HC_14_M_1,1023,ENCSR247QPJ,ENCLB245USU,ENCFF430KEC,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_14,2,HC_14_M_2,lr_match,2k,2B,2B_HC_14_M_2,1023,ENCSR247QPJ,ENCLB208PDA,ENCFF794PMO,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PND_25,1,HC_25_F_1,lr_match,2k,2B,2B_HC_25_F_1,1023,ENCSR730JFZ,ENCLB263MUS,ENCFF656AKQ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PND_25,2,HC_25_F_2,lr_match,2k,2B,2B_HC_25_F_2,1023,ENCSR730JFZ,ENCLB678IDN,ENCFF900MWO,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_25,1,HC_25_M_1,lr_match,2k,2B,2B_HC_25_M_1,1023,ENCSR167HUO,ENCLB078HYI,ENCFF263EVP,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_25,2,HC_25_M_2,lr_match,2k,2B,2B_HC_25_M_2,1023,ENCSR167HUO,ENCLB958FDX,ENCFF319YGL,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PND_36,1,HC_36_F_1,lr_match,2k,2B,2B_HC_36_F_1,1023,ENCSR869HKZ,ENCLB971YWN,ENCFF895CPU,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PND_36,2,HC_36_F_2,lr_match,2k,2B,2B_HC_36_F_2,1023,ENCSR869HKZ,ENCLB541LEL,ENCFF930JMF,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_36,1,HC_36_M_1,lr_match,2k,2B,2B_HC_36_M_1,1023,ENCSR926QCE,ENCLB233DSJ,ENCFF990QGO,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PND_36,2,HC_36_M_2,lr_match,2k,2B,2B_HC_36_M_2,1023,ENCSR926QCE,ENCLB033ZJD,ENCFF846NDO,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PNM_02,1,HC_2m_F_1,lr_match,2k,2B,2B_HC_2m_F_1,1023,ENCSR692LZA,ENCLB256HGX,ENCFF002FHC,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Female,PNM_02,2,HC_2m_F_2,lr_match,2k,2B,2B_HC_2m_F_2,1023,ENCSR692LZA,ENCLB106VMV,ENCFF847GGB,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PNM_02,1,HC_2m_M_1,lr_match,2k,2B,2B_HC_2m_M_1,1023,ENCSR320EFC,ENCLB653CUU,ENCFF718SJZ,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PNM_02,2,HC_2m_M_2,lr_match,2k,2B,2B_HC_2m_M_2,1023,ENCSR320EFC,ENCLB950YDB,ENCFF692EVE,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PNM_18,1,HC_18m_M_1,lr_match,2k,2B,2B_HC_18m_M_1,1023,ENCSR232VMC,ENCLB925PUE,ENCFF260MAH,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Hippocampus,Male,PNM_18,2,HC_18m_M_2,lr_match,2k,2B,2B_HC_18m_M_2,1023,ENCSR232VMC,ENCLB217YGZ,ENCFF540ETU,1000,50000,500,0.2,0.5
Parse,Bl6/Cast,Adrenal,Female,PND_10,1,A_10_F_1,standard,12k,12A,12A_A_10_F_1,1005,ENCSR111SCI,ENCLB984VLS,ENCFF355KXE,500,30000,500,0.2,0.5
