"","gene_id","gene_name","gene_type"
"28412","ENSMUSG00000026447.16","Pik3c2b","protein_coding"
"28413","ENSMUSG00000101102.1","Gm28609","antisense"
"28415","ENSMUSG00000046062.5","Ppp1r15b","protein_coding"
"28416","ENSMUSG00000041757.16","Plekha6","protein_coding"
"28417","ENSMUSG00000101693.1","Gm19461","antisense"
"28418","ENSMUSG00000103421.1","Golt1a","protein_coding"
"28419","ENSMUSG00000115958.1","Gm28040","protein_coding"
"28419.1","ENSMUSG00000115958.1","Gm28040","protein_coding"
"28421","ENSMUSG00000116158.1","Kiss1","protein_coding"
"28422","ENSMUSG00000070645.5","Ren1","protein_coding"
"28423","ENSMUSG00000070644.13","Etnk2","protein_coding"
"28424","ENSMUSG00000070643.11","Sox13","protein_coding"
"28425","ENSMUSG00000101004.1","Gm8596","processed_pseudogene"
"28427","ENSMUSG00000090553.8","Snrpe","protein_coding"
"28428","ENSMUSG00000097014.1","Gm26706","lincRNA"
"28429","ENSMUSG00000102976.6","Zc3h11a","protein_coding"
"28429.1","ENSMUSG00000102976.6","Zc3h11a","protein_coding"
"28431","ENSMUSG00000094410.7","Gm38394","protein_coding"
"28432","ENSMUSG00000102049.1","Zbed6","protein_coding"
"28433","ENSMUSG00000051998.14","Lax1","protein_coding"
"28434","ENSMUSG00000026463.17","Atp2b4","protein_coding"
"28435","ENSMUSG00000098606.1","Mir6903","miRNA"
"28438","ENSMUSG00000100830.1","Gm28441","lincRNA"
"28439","ENSMUSG00000010311.15","Optc","protein_coding"
"28440","ENSMUSG00000090208.1","Gm15851","antisense"
"28441","ENSMUSG00000041577.5","Prelp","protein_coding"
"28442","ENSMUSG00000100987.1","Gm1627","lincRNA"
"28443","ENSMUSG00000099507.1","Gm18970","processed_pseudogene"
"28444","ENSMUSG00000041559.7","Fmod","protein_coding"
"28445","ENSMUSG00000020423.6","Btg2","protein_coding"
"28447","ENSMUSG00000073559.2","Gm8618","processed_pseudogene"
"28448","ENSMUSG00000026450.14","Chit1","protein_coding"
"28449","ENSMUSG00000064246.10","Chil1","protein_coding"
"28450","ENSMUSG00000042451.12","Mybph","protein_coding"
"28451","ENSMUSG00000042429.8","Adora1","protein_coding"
"28453","ENSMUSG00000026459.5","Myog","protein_coding"
"28454","ENSMUSG00000026458.13","Ppfia4","protein_coding"
"28455","ENSMUSG00000042305.12","Tmem183a","protein_coding"
"28456","ENSMUSG00000050526.5","4933406M09Rik","protein_coding"
"28457","ENSMUSG00000026456.18","Cyb5r1","protein_coding"
"28458","ENSMUSG00000026457.14","Adipor1","protein_coding"
"28459","ENSMUSG00000101061.1","Platr1","lincRNA"
"28461","ENSMUSG00000026455.14","Klhl12","protein_coding"
"28462","ENSMUSG00000042229.9","Rabif","protein_coding"
"28464","ENSMUSG00000096712.1","Gm15454","processed_pseudogene"
"28465","ENSMUSG00000101955.1","Gm29376","unprocessed_pseudogene"
"28466","ENSMUSG00000046367.10","Mgat4e","protein_coding"
"28467","ENSMUSG00000042207.17","Kdm5b","protein_coding"
"28468","ENSMUSG00000097435.1","Gm26783","lincRNA"
"28469","ENSMUSG00000026452.15","Syt2","protein_coding"
"28470","ENSMUSG00000073557.11","Ppp1r12b","protein_coding"
"28472","ENSMUSG00000077846.1","Gm22232","miRNA"
"28474","ENSMUSG00000101168.1","Gm28892","antisense"
"28475","ENSMUSG00000026429.9","Ube2t","protein_coding"
"28476","ENSMUSG00000042793.13","Lgr6","protein_coding"
"28477","ENSMUSG00000097993.7","Ptprv","processed_transcript"
"28478","ENSMUSG00000097988.1","Gm10535","antisense"
"28479","ENSMUSG00000031506.11","Ptpn7","protein_coding"
"28480","ENSMUSG00000026426.10","Arl8a","protein_coding"
"28482","ENSMUSG00000085311.1","Gm15445","antisense"
"28483","ENSMUSG00000026424.8","Gpr37l1","protein_coding"
"28484","ENSMUSG00000079139.4","Gm4204","processed_pseudogene"
"28485","ENSMUSG00000097680.1","Gm26642","antisense"
"28486","ENSMUSG00000003051.13","Elf3","protein_coding"
"28487","ENSMUSG00000041926.15","Rnpep","protein_coding"
"28488","ENSMUSG00000062580.9","Timm17a","protein_coding"
"28489","ENSMUSG00000048096.7","Lmod1","protein_coding"
"28491","ENSMUSG00000041889.7","Shisa4","protein_coding"
"28492","ENSMUSG00000041879.13","Ipo9","protein_coding"
"28493","ENSMUSG00000100620.1","Gm28277","sense_intronic"
"28494","ENSMUSG00000009418.15","Nav1","protein_coding"
"28495","ENSMUSG00000093515.1","Mir1231","miRNA"
"28498","ENSMUSG00000054412.5","Gm4793","antisense"
"28499","ENSMUSG00000090399.1","Gm38399","lincRNA"
"28500","ENSMUSG00000026421.14","Csrp1","protein_coding"
"28501","ENSMUSG00000041801.5","Phlda3","protein_coding"
"28502","ENSMUSG00000026418.16","Tnni1","protein_coding"
"28503","ENSMUSG00000041782.14","Lad1","protein_coding"
"28504","ENSMUSG00000026414.13","Tnnt2","protein_coding"
"28505","ENSMUSG00000101482.1","Gm28883","processed_pseudogene"
"28506","ENSMUSG00000026413.12","Pkp1","protein_coding"
"28508","ENSMUSG00000051985.12","Igfn1","protein_coding"
"28509","ENSMUSG00000026411.17","Tmem9","protein_coding"
"28510","ENSMUSG00000097918.1","Ascl5","protein_coding"
"28511","ENSMUSG00000026407.17","Cacna1s","protein_coding"
"28513","ENSMUSG00000102717.1","Gm37759","antisense"
"28514","ENSMUSG00000086264.9","Gm15850","processed_transcript"
"28515","ENSMUSG00000041642.18","Kif21b","protein_coding"
"28516","ENSMUSG00000087230.10","Mroh3","protein_coding"
"28517","ENSMUSG00000041605.16","Inava","protein_coding"
"28518","ENSMUSG00000097315.1","Gm26568","antisense"
"28519","ENSMUSG00000103594.1","A430034D21Rik","lincRNA"
"28520","ENSMUSG00000102941.1","Gm37552","lincRNA"
"28521","ENSMUSG00000097433.1","Gm26781","antisense"
"28522","ENSMUSG00000052759.7","Gpr25","protein_coding"
"28523","ENSMUSG00000041570.14","Camsap2","protein_coding"
"28524","ENSMUSG00000097403.2","9230116N13Rik","processed_transcript"
"28525","ENSMUSG00000026404.12","Ddx59","protein_coding"
"28526","ENSMUSG00000041498.13","Kif14","protein_coding"
"28527","ENSMUSG00000099337.1","Gm29486","processed_pseudogene"
"28528","ENSMUSG00000101413.1","Gm29485","processed_pseudogene"
"28529","ENSMUSG00000104414.1","Gm37799","lincRNA"
"28530","ENSMUSG00000104509.1","Gm33994","lincRNA"
"28531","ENSMUSG00000104366.1","4933409D19Rik","lincRNA"
"28532","ENSMUSG00000097229.1","Platr23","lincRNA"
"28533","ENSMUSG00000041483.14","Zfp281","protein_coding"
"28534","ENSMUSG00000097113.7","Gm19705","lincRNA"
"28535","ENSMUSG00000097448.1","Platr22","lincRNA"
"28537","ENSMUSG00000096432.1","Gm22132","miRNA"
"28538","ENSMUSG00000104360.1","Gm8762","processed_pseudogene"
"28539","ENSMUSG00000103953.1","Gm29718","processed_pseudogene"
"28540","ENSMUSG00000104261.1","Gm17781","processed_pseudogene"
"28541","ENSMUSG00000026398.14","Nr5a2","protein_coding"
"28551","ENSMUSG00000098243.3","Gm4258","processed_transcript"
"28553","ENSMUSG00000098045.1","Gm26979","lincRNA"
"28556","ENSMUSG00000098145.1","Gm26936","lincRNA"
"28557","ENSMUSG00000102142.1","Gm26930","sense_intronic"
"28560","ENSMUSG00000065565.1","Mir181a-1","miRNA"
"28561","ENSMUSG00000098206.1","A430106G13Rik","lincRNA"
"28562","ENSMUSG00000065458.1","Mir181b-1","miRNA"
"28565","ENSMUSG00000026395.16","Ptprc","protein_coding"
"28567","ENSMUSG00000099656.2","Gm18667","processed_pseudogene"
"28568","ENSMUSG00000099459.2","Gm28556","lincRNA"
"28570","ENSMUSG00000026394.5","Atp6v1g3","protein_coding"
"28571","ENSMUSG00000101793.1","Gm28500","processed_pseudogene"
"28572","ENSMUSG00000026393.10","Nek7","protein_coding"
"28573","ENSMUSG00000099510.2","Gm28501","antisense"
"28576","ENSMUSG00000100459.6","Gm5833","lincRNA"
"28577","ENSMUSG00000103152.1","Gm8790","processed_pseudogene"
"28578","ENSMUSG00000019230.14","Lhx9","protein_coding"
"28579","ENSMUSG00000079283.2","2310009B15Rik","protein_coding"
"28580","ENSMUSG00000099808.2","1700019P21Rik","lincRNA"
"28582","ENSMUSG00000103850.1","Gm3933","processed_pseudogene"
"28584","ENSMUSG00000056268.15","Dennd1b","protein_coding"
"28585","ENSMUSG00000104436.1","Gm37423","processed_transcript"
"28586","ENSMUSG00000104900.1","4930596I21Rik","sense_intronic"
"28587","ENSMUSG00000102626.1","Gm18553","processed_pseudogene"
"28588","ENSMUSG00000085361.2","Gm16305","processed_pseudogene"
"28592","ENSMUSG00000085481.1","Gm16304","processed_pseudogene"
"28594","ENSMUSG00000063681.14","Crb1","protein_coding"
"28595","ENSMUSG00000103844.1","4933436E23Rik","lincRNA"
"28596","ENSMUSG00000102661.1","Gm34816","lincRNA"
"28597","ENSMUSG00000033964.12","Zbtb41","protein_coding"
"28598","ENSMUSG00000033952.14","Aspm","protein_coding"
"28599","ENSMUSG00000026368.6","F13b","protein_coding"
"28600","ENSMUSG00000057037.8","Cfhr1","protein_coding"
"28601","ENSMUSG00000090623.3","Cfhr3","unprocessed_pseudogene"
"28603","ENSMUSG00000070594.10","Gm4788","protein_coding"
"28605","ENSMUSG00000033898.16","Cfhr2","protein_coding"
"28606","ENSMUSG00000089991.2","Gm16332","unprocessed_pseudogene"
"28607","ENSMUSG00000104496.1","Gm5837","processed_pseudogene"
"28608","ENSMUSG00000085867.1","Gm5834","unprocessed_pseudogene"
"28609","ENSMUSG00000102905.1","Gm38266","processed_pseudogene"
"28611","ENSMUSG00000103691.1","Gm38019","processed_pseudogene"
"28612","ENSMUSG00000026365.15","Cfh","protein_coding"
"28613","ENSMUSG00000052726.15","Kcnt2","protein_coding"
"28615","ENSMUSG00000102368.1","4930590L20Rik","antisense"
"28617","ENSMUSG00000095238.2","Gm4845","processed_pseudogene"
"28623","ENSMUSG00000099671.2","Gm18183","processed_pseudogene"
"28624","ENSMUSG00000103890.1","Gm28724","processed_pseudogene"
"28624.1","ENSMUSG00000103890.1","Gm28724","processed_pseudogene"
"28627","ENSMUSG00000101795.2","Gm5835","processed_pseudogene"
"28628","ENSMUSG00000026361.9","Cdc73","protein_coding"
"28629","ENSMUSG00000033849.3","B3galt2","protein_coding"
"28630","ENSMUSG00000089640.1","Gm6397","processed_pseudogene"
"28631","ENSMUSG00000018196.18","Glrx2","protein_coding"
"28632","ENSMUSG00000018199.9","Trove2","protein_coding"
"28633","ENSMUSG00000018189.12","Uchl5","protein_coding"
"28634","ENSMUSG00000100455.1","Gm29170","sense_intronic"
"28636","ENSMUSG00000026360.9","Rgs2","protein_coding"
"28637","ENSMUSG00000051079.8","Rgs13","protein_coding"
"28638","ENSMUSG00000100389.1","Rbm6-ps2","processed_pseudogene"
"28639","ENSMUSG00000026358.13","Rgs1","protein_coding"
"28640","ENSMUSG00000100441.1","Gm7266","processed_pseudogene"
"28641","ENSMUSG00000098509.2","Rgs21","protein_coding"
"28643","ENSMUSG00000026357.3","Rgs18","protein_coding"
"28644","ENSMUSG00000101049.1","Gm8856","processed_pseudogene"
"28646","ENSMUSG00000096352.1","Gm25708","miRNA"
"28647","ENSMUSG00000099617.1","Gm6550","processed_pseudogene"
"28648","ENSMUSG00000097130.1","Gm5262","processed_pseudogene"
"28650","ENSMUSG00000101661.1","Gm28392","processed_pseudogene"
"28652","ENSMUSG00000099964.6","Gm29514","antisense"
"28653","ENSMUSG00000090323.2","Gm5263","processed_pseudogene"
"28655","ENSMUSG00000035131.14","Brinp3","protein_coding"
"28656","ENSMUSG00000080078.2","Gm15583","processed_pseudogene"
"28657","ENSMUSG00000087627.2","A230059L01Rik","processed_transcript"
"28658","ENSMUSG00000085822.2","Gm15584","antisense"
"28661","ENSMUSG00000100380.1","Gm17867","unprocessed_pseudogene"
"28663","ENSMUSG00000101973.1","Gm29516","processed_pseudogene"
"28664","ENSMUSG00000099629.1","Gm29515","lincRNA"
"28666","ENSMUSG00000101208.1","Gm19891","processed_pseudogene"
"28667","ENSMUSG00000101735.1","Gm18505","processed_pseudogene"
"28668","ENSMUSG00000099842.1","Gm4034","processed_pseudogene"
"28669","ENSMUSG00000101074.1","Gm29022","processed_pseudogene"
"28670","ENSMUSG00000101564.1","Gm5703","processed_pseudogene"
"28671","ENSMUSG00000082588.1","Gm15443","processed_pseudogene"
"28672","ENSMUSG00000100917.1","Gm18751","processed_pseudogene"
"28673","ENSMUSG00000102074.1","Gm29020","lincRNA"
"28674","ENSMUSG00000101457.1","Gm18701","processed_pseudogene"
"28677","ENSMUSG00000101011.6","Gm29398","lincRNA"
"28682","ENSMUSG00000056220.14","Pla2g4a","protein_coding"
"28684","ENSMUSG00000099701.1","Gm19136","processed_pseudogene"
"28685","ENSMUSG00000104812.1","Gm44329","miRNA"
"28686","ENSMUSG00000097028.2","Ptgs2os","processed_transcript"
"28687","ENSMUSG00000032487.8","Ptgs2","protein_coding"
"28688","ENSMUSG00000101199.1","Gm9687","processed_pseudogene"
"28689","ENSMUSG00000097754.1","Ptgs2os2","lincRNA"
"28690","ENSMUSG00000099875.1","Rbm3-ps","processed_pseudogene"
"28691","ENSMUSG00000100690.1","Gm4322","processed_pseudogene"
"28692","ENSMUSG00000006007.14","Pdc","protein_coding"
"28693","ENSMUSG00000099447.1","2310030A07Rik","antisense"
"28695","ENSMUSG00000006010.14","Odr4","protein_coding"
"28696","ENSMUSG00000006005.18","Tpr","protein_coding"
"28697","ENSMUSG00000006014.16","Prg4","protein_coding"
"28698","ENSMUSG00000101519.1","Ska2l-ps","processed_pseudogene"
"28699","ENSMUSG00000066842.18","Hmcn1","protein_coding"
"28700","ENSMUSG00000093650.2","Gm20631","antisense"
"28701","ENSMUSG00000099622.1","Gm29188","lincRNA"
"28704","ENSMUSG00000100595.1","Gm19087","processed_pseudogene"
"28705","ENSMUSG00000097426.1","Gm8941","processed_pseudogene"
"28706","ENSMUSG00000102095.1","C730036E19Rik","lincRNA"
"28707","ENSMUSG00000114212.1","Gm47985","protein_coding"
"28708","ENSMUSG00000114943.1","Gm8947","protein_coding"
"28709","ENSMUSG00000114694.1","Gm47995","protein_coding"
"28710","ENSMUSG00000114582.1","3110040M04Rik","protein_coding"
"28711","ENSMUSG00000114591.1","Gm47996","protein_coding"
"28713","ENSMUSG00000100954.4","Gm10138","antisense"
"28714","ENSMUSG00000023150.14","Ivns1abp","protein_coding"
"28715","ENSMUSG00000052748.14","Swt1","protein_coding"
"28716","ENSMUSG00000053286.11","Trmt1l","protein_coding"
"28717","ENSMUSG00000106406.1","Mir7682","miRNA"
"28719","ENSMUSG00000026484.13","Rnf2","protein_coding"
"28721","ENSMUSG00000100981.1","Gm29072","processed_pseudogene"
"28722","ENSMUSG00000100551.1","Gm19503","processed_pseudogene"
"28723","ENSMUSG00000100357.1","Gm28181","lincRNA"
"28724","ENSMUSG00000026483.13","Fam129a","protein_coding"
"28725","ENSMUSG00000100594.1","2810414N06Rik","lincRNA"
"28726","ENSMUSG00000043019.12","Edem3","protein_coding"
"28727","ENSMUSG00000032666.16","1700025G04Rik","protein_coding"
"28729","ENSMUSG00000100685.1","Gm28610","antisense"
"28730","ENSMUSG00000102090.1","Gm8964","processed_pseudogene"
"28732","ENSMUSG00000014980.14","Tsen15","protein_coding"
"28733","ENSMUSG00000032649.14","Colgalt2","protein_coding"
"28734","ENSMUSG00000080878.1","Gm15618","processed_pseudogene"
"28735","ENSMUSG00000026482.13","Rgl1","protein_coding"
"28736","ENSMUSG00000086145.1","Gm15479","sense_intronic"
"28737","ENSMUSG00000080950.1","Gm7278","processed_pseudogene"
"28738","ENSMUSG00000099868.1","Gm28792","sense_intronic"
"28739","ENSMUSG00000055547.4","Apobec4","protein_coding"
"28740","ENSMUSG00000008475.13","Arpc5","protein_coding"
"28741","ENSMUSG00000026480.12","Ncf2","protein_coding"
"28742","ENSMUSG00000042772.15","Smg7","protein_coding"
"28743","ENSMUSG00000100394.1","Gm28791","sense_intronic"
"28745","ENSMUSG00000100702.1","Gm8976","processed_pseudogene"
"28746","ENSMUSG00000042751.14","Nmnat2","protein_coding"
"28747","ENSMUSG00000099969.1","Gm28960","antisense"
"28748","ENSMUSG00000026479.13","Lamc2","protein_coding"
"28749","ENSMUSG00000026478.14","Lamc1","protein_coding"
"28751","ENSMUSG00000079138.3","Gm8818","processed_pseudogene"
"28752","ENSMUSG00000073538.10","E330020D12Rik","processed_transcript"
"28753","ENSMUSG00000042708.12","Shcbp1l","protein_coding"
"28756","ENSMUSG00000042699.11","Dhx9","protein_coding"
"28757","ENSMUSG00000042684.8","Npl","protein_coding"
"28758","ENSMUSG00000099858.1","Gm6652","processed_pseudogene"
"28759","ENSMUSG00000042671.12","Rgs8","protein_coding"
"28760","ENSMUSG00000100945.1","Gm29529","antisense"
"28762","ENSMUSG00000100334.1","C230024C17Rik","lincRNA"
"28763","ENSMUSG00000026475.7","Rgs16","protein_coding"
"28764","ENSMUSG00000099568.1","Gm28513","antisense"
"28765","ENSMUSG00000066800.11","Rnasel","protein_coding"
"28766","ENSMUSG00000100183.1","Gm28512","sense_intronic"
"28767","ENSMUSG00000042641.18","Rgsl1","protein_coding"
"28768","ENSMUSG00000045968.7","Teddm2","protein_coding"
"28769","ENSMUSG00000043282.3","Teddm1b","protein_coding"
"28771","ENSMUSG00000047053.5","Teddm1a","protein_coding"
"28772","ENSMUSG00000099227.1","Mir8114","miRNA"
"28773","ENSMUSG00000026473.15","Glul","protein_coding"
"28774","ENSMUSG00000100014.1","Gm29290","lincRNA"
"28775","ENSMUSG00000101903.1","Gm29291","lincRNA"
"28776","ENSMUSG00000100502.1","Gm28286","lincRNA"
"28777","ENSMUSG00000100627.6","A830008E24Rik","lincRNA"
"28779","ENSMUSG00000066797.6","Zfp648","protein_coding"
"28780","ENSMUSG00000099933.1","4930452N14Rik","lincRNA"
"28781","ENSMUSG00000100221.6","4930532M18Rik","lincRNA"
"28783","ENSMUSG00000100031.1","Gm18727","processed_pseudogene"
"28784","ENSMUSG00000004110.16","Cacna1e","protein_coding"
"28785","ENSMUSG00000101880.1","Gm29282","lincRNA"
"28786","ENSMUSG00000101433.1","Gm29441","processed_pseudogene"
"28787","ENSMUSG00000096950.2","Gm9530","lincRNA"
"28788","ENSMUSG00000056708.5","Ier5","protein_coding"
"28789","ENSMUSG00000026471.14","Mr1","protein_coding"
"28790","ENSMUSG00000026470.14","Stx6","protein_coding"
"28791","ENSMUSG00000104181.1","Gm8850","processed_pseudogene"
"28792","ENSMUSG00000033722.9","BC034090","protein_coding"
"28793","ENSMUSG00000103670.1","Gm37622","antisense"
"28794","ENSMUSG00000026469.14","Xpr1","protein_coding"
"28795","ENSMUSG00000093286.1","Gm22569","miRNA"
"28796","ENSMUSG00000073535.5","Gm5532","lincRNA"
"28797","ENSMUSG00000033701.13","Acbd6","protein_coding"
"28798","ENSMUSG00000026468.14","Lhx4","protein_coding"
"28799","ENSMUSG00000103180.1","Gm37089","processed_pseudogene"
"28800","ENSMUSG00000033684.14","Qsox1","protein_coding"
"28802","ENSMUSG00000102558.1","Gm37571","antisense"
"28803","ENSMUSG00000033671.18","Cep350","protein_coding"
"28804","ENSMUSG00000103717.1","Gm38038","processed_pseudogene"
"28805","ENSMUSG00000103771.1","Gm36934","processed_pseudogene"
"28809","ENSMUSG00000026466.16","Tor1aip1","protein_coding"
"28811","ENSMUSG00000050565.16","Tor1aip2","protein_coding"
"28812","ENSMUSG00000015484.3","Fam163a","protein_coding"
"28813","ENSMUSG00000102932.1","Gm38113","processed_pseudogene"
"28814","ENSMUSG00000060985.15","Tdrd5","protein_coding"
"28816","ENSMUSG00000103705.1","4930518J20Rik","antisense"
"28817","ENSMUSG00000026602.9","Nphs2","protein_coding"
"28818","ENSMUSG00000026601.14","Axdnd1","protein_coding"
"28819","ENSMUSG00000078193.2","Gm2000","protein_coding"
"28820","ENSMUSG00000026600.12","Soat1","protein_coding"
"28822","ENSMUSG00000101523.1","Gm10031","protein_coding"
"28823","ENSMUSG00000026596.13","Abl2","protein_coding"
"28825","ENSMUSG00000060519.11","Tor3a","protein_coding"
"28826","ENSMUSG00000033557.17","Fam20b","protein_coding"
"28828","ENSMUSG00000046057.4","Gm15428","processed_pseudogene"
"28829","ENSMUSG00000026594.14","Ralgps2","protein_coding"
"28830","ENSMUSG00000101964.1","Gm28693","transcribed_processed_pseudogene"
"28831","ENSMUSG00000033544.6","Angptl1","protein_coding"
"28834","ENSMUSG00000101905.1","4930439D14Rik","antisense"
"28835","ENSMUSG00000101768.1","Gm28694","lincRNA"
"28837","ENSMUSG00000026592.13","Tex35","protein_coding"
"28838","ENSMUSG00000109913.1","Gm30694","unitary_pseudogene"
"28839","ENSMUSG00000070565.11","Rasal2","protein_coding"
"28842","ENSMUSG00000087632.1","Gm6058","processed_pseudogene"
"28844","ENSMUSG00000049881.13","2810025M15Rik","transcribed_processed_pseudogene"
"28845","ENSMUSG00000033488.11","Cryzl2","protein_coding"
"28846","ENSMUSG00000087093.2","Gm15486","antisense"
"28847","ENSMUSG00000026589.14","Sec16b","protein_coding"
"28848","ENSMUSG00000103021.1","Gm37682","processed_pseudogene"
"28849","ENSMUSG00000103501.1","Gm7412","processed_pseudogene"
"28850","ENSMUSG00000102245.1","Gm37713","processed_pseudogene"
"28851","ENSMUSG00000103962.1","Gm38213","processed_pseudogene"
"28853","ENSMUSG00000004031.13","Brinp2","protein_coding"
"28854","ENSMUSG00000026587.15","Astn1","protein_coding"
"28856","ENSMUSG00000103971.1","Gm37679","antisense"
"28857","ENSMUSG00000070103.2","Mir488","miRNA"
"28860","ENSMUSG00000073530.11","Pappa2","protein_coding"
"28861","ENSMUSG00000047661.9","1600012P17Rik","lincRNA"
"28862","ENSMUSG00000104014.1","4930562F17Rik","lincRNA"
"28863","ENSMUSG00000061992.2","Gm4953","processed_pseudogene"
"28864","ENSMUSG00000104169.1","Gm7430","unprocessed_pseudogene"
"28865","ENSMUSG00000040782.12","Cop1","protein_coding"
"28869","ENSMUSG00000105399.1","Mir1843b","miRNA"
"28870","ENSMUSG00000103289.1","Gm31256","processed_pseudogene"
"28871","ENSMUSG00000103389.1","Gm37757","processed_pseudogene"
"28872","ENSMUSG00000015829.13","Tnr","protein_coding"
"28874","ENSMUSG00000073528.7","Gm10530","processed_transcript"
"28875","ENSMUSG00000103719.1","Gm38039","antisense"
"28877","ENSMUSG00000104111.1","Gm37294","lincRNA"
"28878","ENSMUSG00000090394.8","4930523C07Rik","protein_coding"
"28879","ENSMUSG00000026729.9","4930562F07Rik","lincRNA"
"28880","ENSMUSG00000026725.17","Tnn","protein_coding"
"28881","ENSMUSG00000058267.13","Mrps14","protein_coding"
"28882","ENSMUSG00000014226.10","Cacybp","protein_coding"
"28884","ENSMUSG00000026721.16","Rabgap1l","protein_coding"
"28885","ENSMUSG00000104302.1","Gm36975","antisense"
"28886","ENSMUSG00000089204.1","Mir1927","miRNA"
"28888","ENSMUSG00000103693.1","Gm37529","sense_intronic"
"28895","ENSMUSG00000103200.1","Gm37328","sense_intronic"
"28898","ENSMUSG00000102852.1","Gm37083","lincRNA"
"28899","ENSMUSG00000103631.1","Gm38060","lincRNA"
"28901","ENSMUSG00000057499.3","Gm6177","processed_pseudogene"
"28902","ENSMUSG00000040423.10","Rc3h1","protein_coding"
"28906","ENSMUSG00000026715.12","Serpinc1","protein_coding"
"28909","ENSMUSG00000043467.19","Zbtb37","protein_coding"
"28910","ENSMUSG00000104016.1","Gm37362","antisense"
"28911","ENSMUSG00000053332.13","Gas5","processed_transcript"
"28922","ENSMUSG00000026709.10","Dars2","protein_coding"
"28923","ENSMUSG00000102864.1","Gm37634","antisense"
"28924","ENSMUSG00000026708.16","Cenpl","protein_coding"
"28925","ENSMUSG00000026705.16","Klhl20","protein_coding"
"28926","ENSMUSG00000044835.15","Ankrd45","protein_coding"
"28927","ENSMUSG00000049160.15","Tex50","protein_coding"
"28928","ENSMUSG00000102817.2","Gm6185","transcribed_unprocessed_pseudogene"
"28929","ENSMUSG00000026701.15","Prdx6","protein_coding"
"28930","ENSMUSG00000104163.1","Gm19057","processed_pseudogene"
"28931","ENSMUSG00000026700.4","Tnfsf4","protein_coding"
"28932","ENSMUSG00000066755.2","Tnfsf18","protein_coding"
"28935","ENSMUSG00000040323.13","Gm15429","processed_pseudogene"
"28936","ENSMUSG00000102399.1","Gm5049","processed_pseudogene"
"28937","ENSMUSG00000000817.10","Fasl","protein_coding"
"28939","ENSMUSG00000040297.12","Suco","protein_coding"
"28940","ENSMUSG00000102254.1","Gm7496","processed_pseudogene"
"28941","ENSMUSG00000103158.5","Gm31925","lincRNA"
"28942","ENSMUSG00000086277.2","4930558K02Rik","protein_coding"
"28943","ENSMUSG00000026698.8","Pigc","protein_coding"
"28944","ENSMUSG00000103393.1","Gm38304","antisense"
"28945","ENSMUSG00000040265.16","Dnm3","protein_coding"
"28946","ENSMUSG00000090260.1","2810442N19Rik","antisense"
"28948","ENSMUSG00000078190.7","Dnm3os","antisense"
"28949","ENSMUSG00000070126.1","Mir199a-2","miRNA"
"28950","ENSMUSG00000065516.1","Mir214","miRNA"
"28951","ENSMUSG00000089933.1","Gm16101","processed_pseudogene"
"28953","ENSMUSG00000026694.19","Mettl13","protein_coding"
"28954","ENSMUSG00000026696.15","Vamp4","protein_coding"
"28955","ENSMUSG00000091743.2","Gm5705","processed_pseudogene"
"28956","ENSMUSG00000026697.10","Myoc","protein_coding"
"28957","ENSMUSG00000091060.2","Myocos","protein_coding"
"28958","ENSMUSG00000040225.15","Prrc2c","protein_coding"
"28959","ENSMUSG00000098259.1","Gm27616","miRNA"
"28960","ENSMUSG00000026692.12","Fmo4","protein_coding"
"28961","ENSMUSG00000040181.14","Fmo1","protein_coding"
"28962","ENSMUSG00000040170.13","Fmo2","protein_coding"
"28963","ENSMUSG00000095576.5","Fmo6","protein_coding"
"28964","ENSMUSG00000026691.10","Fmo3","protein_coding"
"28965","ENSMUSG00000103288.1","Gm37273","antisense"
"28966","ENSMUSG00000071890.4","Mroh9","protein_coding"
"28970","ENSMUSG00000026586.16","Prrx1","protein_coding"
"28971","ENSMUSG00000092188.1","Gm20471","antisense"
"28972","ENSMUSG00000096984.1","Gm26523","lincRNA"
"28974","ENSMUSG00000040124.5","Gorab","protein_coding"
"28976","ENSMUSG00000101869.1","Gm29500","lincRNA"
"28977","ENSMUSG00000102117.1","Rpsa-ps1","processed_pseudogene"
"28978","ENSMUSG00000040113.14","Mettl11b","protein_coding"
"28979","ENSMUSG00000089700.1","Gm2343","processed_pseudogene"
"28980","ENSMUSG00000026585.13","Kifap3","protein_coding"
"28981","ENSMUSG00000026584.14","Scyl3","protein_coding"
"28982","ENSMUSG00000041406.14","BC055324","protein_coding"
"28983","ENSMUSG00000041396.13","Mettl18","protein_coding"
"28984","ENSMUSG00000103960.1","Gm37119","processed_pseudogene"
"28985","ENSMUSG00000026582.6","Sele","protein_coding"
"28986","ENSMUSG00000026581.14","Sell","protein_coding"
"28987","ENSMUSG00000026580.16","Selp","protein_coding"
"28988","ENSMUSG00000090081.1","Gm16587","antisense"
"28989","ENSMUSG00000086593.2","Gm16548","lincRNA"
"28990","ENSMUSG00000026579.8","F5","protein_coding"
"28991","ENSMUSG00000089790.1","Gm16588","processed_pseudogene"
"28992","ENSMUSG00000040918.12","Slc19a2","protein_coding"
"28993","ENSMUSG00000026578.6","Ccdc181","protein_coding"
"28994","ENSMUSG00000026577.13","Blzf1","protein_coding"
"28995","ENSMUSG00000026575.15","Nme7","protein_coding"
"28997","ENSMUSG00000026576.12","Atp1b1","protein_coding"
"28998","ENSMUSG00000104011.1","Gm32391","lincRNA"
